Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаблій,Макар,Леопольдович,чоловік,1947-07-01,Мінералог,селище Заводське,"площа Колонічна, буд. 5, Іловайськ, 27020",+380 80 676 93 52,marusiamykhailychenko@example.net
Токар,Стефан,Іванович,чоловік,1985-02-03,Палеонтолог,місто Комарно,"проспект Рульовий, буд. 271 кв. 61, Шаргород, 84761",+380 29 971-97-67,lizababii@example.org
Артюшенко,Яків,Русланович,чоловік,1964-04-14,Детектив,селище Острог,"вулиця Леха Качинського, буд. 3 кв. 0, Лубни, 16580",594-49-30,gshevchenko@example.org
Чалий,Руслан,Устимович,чоловік,2003-01-24,Фольклорист,село Довжанськ,"набережна Лесі Українки, буд. 5 кв. 207, Біла Церква, 02987",643 59 63,shukhevychalevtyn@example.org
Копитко,Валентин,Михайлович,чоловік,1946-04-28,Диригент,хутір Добромиль,"площа Тимірязєва 3-й, буд. 1 кв. 582, Ланівці, 56542",035 136-37-37,rchervonenko@example.com
Перебийніс,Лукʼян,Тимофійович,чоловік,1977-11-30,Кушнір,село Радехів,"шосе Благовидової, буд. 7 кв. 8, Ржищів, 85719",+380 90 060 11 40,fiashchuk@example.org
Заєць,Миколай,Миронович,чоловік,1945-06-03,Клавішник,місто Тячів,"набережна Кибальчича, буд. 1, Липовець, 84078",010-11-67,oksana64@example.net
Бандура,Євген,Яковович,чоловік,1965-05-05,Паблік рилейшнз,селище Костянтинівка,"набережна Шампанський, буд. 011 кв. 56, Рогатин, 93941",871 13 67,durdynetsfrants@example.com
Ємець,Гаврило,Теодорович,чоловік,1958-10-16,Кінолог,місто Яремче,"шосе Ромашкова, буд. 265 кв. 126, Корець, 26561",085 615 89 16,siatseniuk@example.com
Влох,Франц,Варфоломійович,чоловік,1973-04-09,Гірничий інженер,місто Герца,"провулок Канатна, буд. 145 кв. 530, Рубіжне, 91938",+380 69 388-04-92,hermannazarenko@example.net
Євтушок,Святослав,Богданович,чоловік,1948-03-28,Фольклорист,село Берегове,"парк Український 2-й, буд. 594, Лебедин, 43105",+380 99 645-80-11,anzhela86@example.org
Москаль,Миколай,Миронович,чоловік,2004-07-25,Гірник,хутір Дубровиця,"провулок Осіння, буд. 1 кв. 82, Новояворівськ, 87578",851-68-52,btkachenko@example.org
Лазаренко,Костянтин,Яковович,чоловік,1991-12-02,Мистецтвознавець,місто Луцьк,"узвіз Приморський, буд. 1, Львів, 28776",+380 44 955-66-59,uriaboshapka@example.org
Ажажа,Мартин,Омелянович,чоловік,1998-01-09,Ювелір,хутір Чортків,"площа Мельницька, буд. 1 кв. 20, Сіверськ, 51560",+380 54 657-00-62,dievdokymenko@example.net
Єрченко,Захар,Степанович,чоловік,1955-03-03,Водій,селище Жидачів,"провулок Сурикова 1-й, буд. 3 кв. 7, Соснівка , 95828",590-59-46,lavrenkopriska@example.org
Артюшенко,Орест,Панасович,чоловік,1980-10-29,Біолог,село Зміїв,"набережна Гена Іоганна, буд. 53 кв. 66, Красногорівка, 10348",+380 (89) 711-82-15,iaremkomariia@example.com
Дубина,Опанас,Вадимович,чоловік,1949-06-10,Електрослюсар,селище Шумськ,"провулок Улітіна, буд. 874, Джанкой, 01570",+380 03 435 21 86,orysiashchyrytsia@example.net
Забашта,Петро,Прохорович,чоловік,1981-10-30,Продюсер,хутір Христинівка,"сквер Гвоздична, буд. 391 кв. 03, Бар, 17046",488-11-46,barannykserhii@example.net
Пʼятаченко,Мартин,Йосипович,чоловік,1951-10-14,Адвокат,місто Ужгород,"провулок Середньофонтанський, буд. 5, Пологи , 15901",+380 20 158 51 99,tkachenkoorkhyp@example.net
Зінченко,Василь,Тимофійович,чоловік,2007-04-21,Мінералог,хутір Волноваха,"проспект Іванівська, буд. 358 кв. 2, Сквира, 26401",733-97-78,illiakarmaliuk@example.com
Овчаренко,Феофан,Єлисейович,чоловік,1958-09-21,Редактор,місто Голубівка,"вулиця Балтський 2-й, буд. 5 кв. 213, Ялта, 72120",030 052 51 59,yshvachka@example.net
Гайденко,Остап,Альбертович,чоловік,1961-04-07,Журналіст,місто Кальміуське,"узвіз Деревообробний 4-й, буд. 63, Шумськ, 79000",009 501 07 83,iukhymkylymnyk@example.com
Юрчук,Олександр,Єлисейович,чоловік,1984-07-23,Мікробіолог,місто Привілля,"парк Вишнева, буд. 236 кв. 15, Полтава, 38439",928 59 45,symon68@example.org
Бакуменко,Охрім,Хомович,чоловік,1997-04-22,Музичний редактор,село Охтирка,"парк Матеріальний 1-й, буд. 6 кв. 415, Горохів, 89159",997-91-49,oksanafastenko@example.com
Ґереґа,Гліб,Глібович,чоловік,1940-01-07,Геолог,селище Батурин,"провулок Амбулаторний, буд. 392 кв. 28, Снігурівка, 30248",008 498 42 87,bazylevskasvitlana@example.org
Оніщук,Костянтин,Леонідович,чоловік,1968-02-22,Агроном,селище Сторожинець,"вулиця Міцкевича, буд. 8, Петрово-Красносілля, 76592",+380 45 533-23-16,nazarenkodaryna@example.org
Малик,Нестор,Семенович,чоловік,1942-01-06,Архітектор,селище Армянськ,"площа Сільська, буд. 7 кв. 844, Сновськ, 83639",459-75-78,skybamykhailyna@example.org
Зінченко,Дан,Болеславович,чоловік,1940-04-23,Бібліотекар,місто Кременець,"узвіз Володі Дубініна, буд. 752 кв. 5, Рені, 41084",+380 85 107 11 62,maksymkomar@example.com
Рябовіл,Венедикт,Ростиславович,чоловік,1983-08-06,Доцент,село Полтава,"проспект Старорізнична, буд. 3, Новоазовськ, 62722",027 135-40-04,dhodunok@example.net
Шамрай,Богуслав,Борисович,чоловік,1944-01-24,Ювелір,хутір Помічна,"узвіз Пересипська 10-та, буд. 182 кв. 3, Нова Одеса, 12852",131 30 46,hutsuliakvasylyna@example.net
Онищенко,Марко,Костянтинович,чоловік,1974-07-23,Перекладач,село Красноперекопськ,"сквер Асєєва Юрія, буд. 50, Бориспіль, 67485",035 412-20-11,sirkoles@example.net
Іваненко,Петро,Васильович,чоловік,1972-12-25,Секретар,місто Липовець,"сквер Олександра Матросова, буд. 25, Калинівка , 50506",+380 (87) 675-24-48,milena12@example.org
Власенко,Варфоломій,Геннадійович,чоловік,1939-08-13,Євнух,місто Керч,"узвіз Ясна, буд. 8, Запоріжжя, 09752",+380 94 742-70-81,danzinchenko@example.org
Єфименко,Гаврило,Борисович,чоловік,1980-08-02,Фрілансер,село Долинська,"шосе Льва Толстого, буд. 91, Єнакієве, 46491",319-75-58,zorian44@example.org
Носаченко,Борислав,Азарович,чоловік,1965-10-23,Історик,село Шепетівка,"парк Новобазарний, буд. 587, Камінь-Каширський, 74551",+380 71 849-29-84,andriievychvioletta@example.net
Шутько,Аарон,Святославович,чоловік,1979-08-05,Нотаріус,хутір Сокаль,"сквер Пішонівська, буд. 89, Коростишів, 95185",+380 78 275-90-58,iaroslav88@example.com
Симоненко,Лесь,Охрімович,чоловік,1988-07-10,Гінеколог,селище Ізяслав,"площа Нафтовиків 3-й, буд. 44, Славутич, 69513",+380 02 609 08 71,erika60@example.com
Свириденко,Владислав,Алевтинович,чоловік,1980-09-28,Різноробочий,хутір Самбір,"шосе Левкоєва, буд. 70, Знам'янка, 53462",153 48 17,arkhymovychfedir@example.org
Гайда,Миколай,Хомович,чоловік,2000-12-07,Маркетолог,село Долина ,"проспект Панаса Мирного, буд. 852 кв. 463, Копичинці, 99183",020 468 12 90,frankomariana@example.net
Єрмоленко,Василь,Вʼячеславович,чоловік,1993-09-21,Ґрунтознавець,місто Ладижин,"проспект Лобачевського, буд. 21 кв. 38, Перемишляни, 07042",+380 (43) 522-48-01,stefantkach@example.net
Романчук,Арсен,Болеславович,чоловік,1958-07-22,Будник,місто Немирів,"проспект Аеропортівський 5-й, буд. 79 кв. 202, Білопілля, 17258",+380 17 879-60-44,ihnatlaba@example.net
Єременко,Станіслав,Іванович,чоловік,2000-12-12,Пілот,селище Чортків,"площа Маловського, буд. 58 кв. 3, Кагарлик, 65140",+380 (06) 627-38-08,khrystynazakusylo@example.com
Мазепа,Омелян,Станіславович,чоловік,1974-10-31,Єгер,село Старий Крим,"сквер Міхновського Миколи, буд. 3, Хорол , 03402",060 776-04-59,prytulaokseniia@example.org
Джунь,Онисим,Станіславович,чоловік,1964-03-08,Ювелір,село Снятин,"сквер Гагарінське плато, буд. 70, Конотоп, 05884",+380 54 074-89-81,kovalenkopanas@example.org
Бабиченко,Хома,Аркадійович,чоловік,1986-08-20,Фотограф,місто Олександрівськ,"провулок Оборони Ленінграду, буд. 07 кв. 642, Снігурівка, 08237",+380 62 992 85 43,vhavrylenko@example.com
Козаченко,Онисим,Романович,чоловік,1972-12-11,Мірошник,хутір Міусинськ,"вулиця Карантинна, буд. 68 кв. 508, Острог, 66960",+380 51 236 38 83,lytvynenkooles@example.com
Рябовіл,Леонід,Опанасович,чоловік,1999-08-17,Геофізик,селище Ніжин,"сквер Нерубайська, буд. 96, Тростянець, 86303",+380 (12) 321-04-93,hryhorii82@example.com
Швайка,Дмитро,Юхимович,чоловік,1943-12-30,Провізор,хутір Докучаєвськ,"вулиця Катерининська, буд. 8, Рогатин, 25499",050 903-48-86,chalyiiaryna@example.net
Ященко,Теодор,Адамович,чоловік,1957-10-05,Підприємець,село П'ятихатки,"узвіз Регенсбург, буд. 178, Старокостянтинів, 25134",509 74 80,shyianodarka@example.net
Рябець,Ігор,Станіславович,чоловік,1954-04-22,Державний службовець,місто Васильків,"набережна Ползунова 1-й, буд. 547 кв. 95, Українськ, 41123",522-86-69,daleksiuk@example.com
Алексюк,Дан,Васильович,чоловік,1962-10-13,Публіцист,село Снятин,"набережна Проектна 1-ша, буд. 88 кв. 948, Липовець, 54985",+380 70 554 09 50,tereza78@example.com
Бабариченко,Ростислав,Орхипович,чоловік,1986-12-14,Антрополог,місто Джанкой,"сквер Лютневий 1-й, буд. 351 кв. 4, Болехів, 08760",019 293 69 58,lcharnysh@example.com
Рудько,Ростислав,Захарович,чоловік,1956-11-04,Юрист,хутір Батурин,"шосе Наявний 1-й, буд. 6 кв. 4, Дунаївці, 52759",049 928-63-69,sviatoslav04@example.org
Власенко,Іван,Микитович,чоловік,1974-06-08,Складальник,село Ходорів,"парк Садовий, буд. 23, Одеса, 29866",+380 22 710-76-33,boleslav49@example.org
Габелко,Олег,Леонідович,чоловік,1940-10-22,Намотувальник,місто Красилів,"площа Лазурний 2-й, буд. 34, Берестечко, 22218",+380 20 613-52-78,kovalenkoiakiv@example.org
Гресь,Федір,Остапович,чоловік,1995-08-30,Фермер,хутір Радомишль,"провулок Качалова, буд. 4, Бібрка, 57404",077 861 27 58,iashchukfeofan@example.org
Павличенко,Алевтин,Георгійович,чоловік,1963-02-25,Електрик,хутір Кобеляки,"сквер ПшеничнаРадищева, буд. 32, Міусинськ, 67629",+380 49 490-13-05,lvyshniak@example.net
Бандера,Віктор,Ігорович,чоловік,1985-10-03,Сценарист,хутір Чигирин,"сквер Савицький, буд. 1 кв. 452, Скадовськ, 89146",+380 97 293-38-01,khomenkoavrelii@example.org
Захаренко,Венедикт,Семенович,чоловік,1962-04-27,Золотар,хутір Краматорськ,"шосе Усатівська, буд. 3 кв. 71, Івано-Франківськ, 66817",083 739-01-98,milena67@example.net
Гук,Едуард,Андрійович,чоловік,1955-11-07,Фольклорист,село Семенівка,"набережна Тетяни Тесс, буд. 5 кв. 56, Сорокине, 82873",581 73 86,zlatoslavaopanasenko@example.com
Корпанюк,Борислав,Болеславович,чоловік,1938-10-01,Золотар,селище Борзна,"парк Хаджибейський 2-й, буд. 2, Ірміно, 58817",001 772 11 99,tiashchuk@example.com
Теліженко,Олег,Демидович,чоловік,1948-05-27,Електрик,хутір Пологи ,"сквер Лазурний 4-й, буд. 881, Малин, 60385",295-72-95,viacheslav09@example.org
Чайка,Азар,Олегович,чоловік,2008-06-21,Намотувальник,село Первомайський ,"сквер Косяченка Олексія, буд. 66, Бучач, 36881",+380 55 253-98-66,viacheslav57@example.net
Туркало,Симон,Болеславович,чоловік,1996-09-14,Археолог,місто Приморськ (Україна),"узвіз Прорізна, буд. 9, Сарни, 39128",+380 (34) 156-56-40,miroshnychenkosolomon@example.net
Захарченко,Орест,Пантелеймонович,чоловік,1970-10-13,Нотаріус,місто Бахмут,"провулок 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 284 кв. 59, Подільськ, 43481",092 645 66 13,darahanmartyn@example.com
Палій,Віталій,Трохимович,чоловік,1956-03-13,Психолог,село Новий Буг,"сквер Івана Франка, буд. 38, Марганець , 55448",045 169 84 00,mazepatrokhym@example.com
Луценко,Федір,Едуардович,чоловік,1950-07-04,Правник,хутір Золочів,"вулиця Вишневий, буд. 582 кв. 855, Енергодар, 24887",009 598 28 89,nbarannyk@example.net
Гавриш,Вадим,Богодарович,чоловік,1979-08-15,Філолог,хутір Липовець,"парк Жуковського, буд. 769, Христинівка, 21672",212 32 14,zinchukspas@example.net
Вітрук,Олекса,Леонідович,чоловік,1964-08-14,Співак,село Чигирин,"вулиця Лінія 31-ша, буд. 43, Петрово-Красносілля, 02324",+380 05 415 77 29,milenaneporozhnii@example.org
Мірошниченко,Роман,Аркадійович,чоловік,1956-12-29,Режисер,селище Біла Церква,"парк Овідіопольська дорога, буд. 0 кв. 321, Часів Яр, 29947",+380 90 346-17-36,mzaichenko@example.net
Мамчур,Ігор,Сергійович,чоловік,1979-09-01,Стропальник,село Токмак,"проспект Богдана Хмельницького, буд. 207 кв. 018, Вільнянськ, 28952",+380 51 933-99-73,andrii17@example.org
Тимченко,Сергій,Ярославович,чоловік,1990-07-28,Льотчик,село Баранівка,"площа Пржевальського, буд. 7 кв. 58, Хрестівка, 49558",761 41 63,klavdiialaba@example.org
Ващук,Святослав,Теодорович,чоловік,1985-05-17,Графік,селище Слов'янськ,"узвіз Проценка, буд. 621 кв. 695, Ланівці, 33949",+380 67 052-53-25,varvarashelest@example.org
Журавель,Аарон,Михайлович,чоловік,1978-08-09,Музикознавець,місто Южноукраїнськ,"набережна Маршрутна, буд. 1, Глобине, 01296",233-01-85,poltavetsvasyl@example.com
Гаврюшенко,Богодар,Юстимович,чоловік,1948-11-03,Психолог,село Пирятин,"вулиця Виноградна 3-тя, буд. 321 кв. 69, Нове Давидково, 72503",+380 15 231 37 16,varfolomii72@example.org
Адаменко,Ігор,Федорович,чоловік,1944-04-07,Пілот,село Чоп,"узвіз Кифоренка Бориса, буд. 92 кв. 5, Підгородне, 19023",144 66 39,fchubai@example.com
Редько,Юстим,Венедиктович,чоловік,2001-12-08,М'ясник,місто Борщів,"вулиця Маяковського, буд. 7 кв. 0, Ромни, 10825",+380 93 172-68-32,veibozhenko@example.com
Парасюк,Сергій,Ігорович,чоловік,1980-12-22,Ветеринар,хутір Решетилівка,"вулиця Князівська, буд. 66, Буськ, 43595",071 569 72 24,okhrim25@example.net
Тихий,Віктор,Охрімович,чоловік,1987-02-01,Намотувальник,хутір Житомир,"проспект Купріна, буд. 1 кв. 32, Почаїв, 23529",+380 49 600 81 79,rovcharenko@example.org
Христич,Леон,Володимирович,чоловік,1956-01-24,Кухар,селище Тернівка ,"набережна Травневий, буд. 02 кв. 36, Скалат, 61445",098 286-64-98,liudmylasirko@example.net
Теличенко,Веніямин,Теодорович,чоловік,1940-01-05,Співак,селище Євпаторія,"набережна Кавунова, буд. 251 кв. 951, Нововолинськ, 86433",+380 55 079 85 70,vakarchukdavyd@example.net
Самойленко,Роман,Пилипович,чоловік,1982-12-25,Правник,місто Гайворон,"сквер Басейний 2-й, буд. 769, Миронівка, 97249",+380 77 280-59-10,maryna10@example.org
Ґжицький,Арсен,Аркадійович,чоловік,1967-11-30,Архітектор,хутір Ладижин,"шосе Трамвайний, буд. 07, Херсон, 23621",041-19-07,zhadanoles@example.net
Вдовиченко,Вадим,Вадимович,чоловік,1963-06-13,Кухар,хутір Першотравенськ,"площа Складська, буд. 33, Тальне, 51599",930 15 30,snizhanababii@example.org
Худобʼяк,Тарас,Устимович,чоловік,1959-04-16,Маркетолог,хутір Березне,"парк Бокаріуса Миколи, буд. 514 кв. 10, Самбір, 49438",+380 62 253-42-82,arkadii69@example.net
Вітер,Левко,Віталійович,чоловік,1959-07-16,Льотчик,село Володимир-Волинський,"сквер 411-ї батареї, буд. 933 кв. 88, Свалява, 51699",164-88-83,usykleontii@example.org
Орлик,Йосип,Георгійович,чоловік,1992-08-22,Сантехнік,місто Сновськ,"шосе Курортний, буд. 1 кв. 601, Перемишляни, 91775",+380 13 075-23-07,chernenkoiustym@example.com
Забарний,Ігнат,Михайлович,чоловік,1987-06-20,Композитор,село Чортків,"площа Пересипський міст, буд. 984 кв. 429, Конотоп, 03901",+380 68 265 54 80,venedykt23@example.org
Верхола,Вадим,Ростиславович,чоловік,1977-07-20,Будник,хутір Винники,"парк Маршрутна, буд. 2, Семенівка, 64456",005 463-30-09,thodunok@example.com
Тарасенко,Богодар,Олесьович,чоловік,1979-03-20,Краєзнавець,хутір Рівне,"площа Лінія 29-та, буд. 06 кв. 580, Підгородне, 90764",+380 82 876-55-58,andrii36@example.org
Єрошенко,Панас,Вадимович,чоловік,1940-07-07,Складальник,селище Бучач,"узвіз Обсерваторний, буд. 90, Заводське, 96126",+380 72 770-54-18,nshtokalo@example.net
Франчук,Едуард,Сергійович,чоловік,1999-12-10,Фізик,селище Красилів,"шосе Ползунова 2-й, буд. 8, Знам'янка, 85042",026 548 62 84,panteleimon71@example.com
Вернигора,Артем,Пилипович,чоловік,1980-10-15,Музикант,село Радивилів,"набережна Державіна, буд. 162, Миколаїв, 34842",843 77 47,romanzhurba@example.org
Балабан,Ілля,Арсенович,чоловік,1964-09-09,Археолог,місто Іршава,"вулиця Пастера, буд. 327, Чугуїв, 70888",+380 17 698 43 16,korpaniukeduard@example.net
Романчук,Панас,Демʼянович,чоловік,1967-07-19,Етнограф,селище Сторожинець,"шосе Державіна, буд. 81, Знам'янка, 97097",+380 11 349 33 22,ykonoplia@example.net
Овчаренко,Онисим,Єфремович,чоловік,1965-11-08,Кіноактор,село Бережани,"парк Лесі Українки, буд. 75 кв. 7, Красногорівка, 58342",517-69-47,erikasirobaba@example.org
Франчук,Трохим,Альбертович,чоловік,1946-09-07,Локсмайстер,місто Амвросіївка,"набережна Авіаторів, буд. 89, Жидачів, 37758",+380 09 362-73-19,zynovii11@example.org
Андрощук,Алевтин,Йосипович,чоловік,1964-03-30,Штукатур,село Южне,"парк Квітнева, буд. 637, Сновськ, 68960",+380 17 789-86-43,taras94@example.net
Гавриленко,Олесь,Зорянович,чоловік,1983-12-08,Кушнір,місто Заводське,"площа Каховський, буд. 4, Соснівка , 23241",364 60 72,xbaida@example.net
Кабалюк,Охрім,Григорійович,чоловік,1987-01-05,Продюсер,хутір Новомосковськ,"проспект Сумська, буд. 5, Бучач, 33731",+380 26 237-89-68,ndubenko@example.com
Заєць,Панас,Арсенович,чоловік,1997-03-20,Кіноактор,село Дружківка,"провулок Успенський, буд. 0, Зимогір'я, 34046",+380 (82) 614-19-53,roksolana33@example.net
Карась,Аврелій,Устимович,чоловік,1986-02-22,Редактор,хутір Молодогвардійськ,"вулиця Лермонтовський, буд. 04 кв. 8, Дружківка, 83982",+380 89 995-47-98,anzhelaasaula@example.com
Батюк,Охрім,Миронович,чоловік,1952-02-02,Математик,село Кременець,"парк Літакова, буд. 3 кв. 99, Дрогобич, 29168",941 25 07,vakarchukzorian@example.org
Фастенко,Костянтин,Устимович,чоловік,1951-06-07,Вчитель,хутір Вашківці,"вулиця Нечипуренка, буд. 6, Деражня, 57284",140 99 85,maryna27@example.net
Рубан,Гаврило,Степанович,чоловік,1950-11-08,Бізнесмен,селище Долина ,"сквер Іспанський, буд. 1 кв. 48, Болехів, 88204",140-70-66,ufartushniak@example.org
Батіг,Левко,Павлович,чоловік,1952-05-29,Графік,місто Єнакієве,"шосе Аркаса Миколи, буд. 046, Вільнянськ, 52964",+380 38 106-07-19,pavlenkokyrylo@example.com
Бабенко,Валентин,Омелянович,чоловік,1988-05-05,Редактор,місто Нетішин,"площа Глиняна, буд. 6, Корюківка, 56268",104-79-18,tymchenkovalerii@example.com
Ващенко,Вадим,Омелянович,чоловік,1971-05-31,Кінокритик,місто Волочиськ,"набережна Десятого квітня, буд. 993, Вовчанськ, 24574",074 736 81 71,obazavluchenko@example.com
Козак,Гаврило,Федорович,чоловік,1950-06-08,Актор,хутір Кагарлик,"узвіз Угорська, буд. 89 кв. 385, Новомиргород, 94463",044 100-10-53,feofan37@example.net
Ященко,Мирон,Пилипович,чоловік,1990-01-22,Провізор,місто Дубляни,"провулок Зернова, буд. 083, Нікополь, 94738",043 798 91 17,havriushenkohennadii@example.org
Корсун,Олесь,Юстимович,чоловік,1995-08-31,Музикант,місто Балта,"сквер Обривиста, буд. 65 кв. 649, Білопілля, 22195",+380 (68) 846-68-62,martaverkhola@example.net
Архипенко,Назар,Ярославович,чоловік,1954-10-10,Електротехнік,хутір Ірпінь,"парк Елеваторна, буд. 721 кв. 921, Хирів, 94183",+380 48 193 40 51,iaroslav65@example.org
Чубай,Олекса,Васильович,чоловік,2004-10-21,Провізор,хутір Волочиськ,"проспект Педагогічна, буд. 5, Соледар, 83248",975 68 31,lizasachenko@example.org
Носенко,Данило,Данилович,чоловік,1952-05-16,Бібліограф,місто Вараш,"площа Костанді 3-й, буд. 06 кв. 391, Красилів, 40619",156-41-30,hryhorii13@example.com
Петренко,Мирон,Мирославович,чоловік,1955-06-25,Доцент,селище Лохвиця,"площа Кибальчича, буд. 353, Городенка, 91127",+380 (96) 939-97-73,orynaandrusenko@example.org
Кабалюк,Макар,Алевтинович,чоловік,1950-05-19,М'ясник,село Білгород-Дністровський,"парк Льва Толстого, буд. 034, Білицьке, 49992",079-02-39,irynariaboshapka@example.com
Приймак,Тимофій,Веніяминович,чоловік,1959-07-31,Флорист,селище Зеленодольськ,"провулок Суднобудівний, буд. 612, Нова Одеса, 34182",+380 (20) 156-92-52,liza73@example.org
Литвин,Ярема,Русланович,чоловік,1965-06-10,Бібліограф,місто Армянськ,"набережна Матроський узвіз, буд. 53 кв. 325, Теребовля, 74050",+380 29 112 31 07,azariemelianenko@example.org
Чуприна,Ігор,Русланович,чоловік,1955-10-06,Епідеміолог,хутір Верхньодніпровськ,"шосе Аеропортівський 2-й, буд. 4 кв. 0, Кипуче, 03100",+380 80 605-29-28,akhudiak@example.net
Черінько,Олег,Сергійович,чоловік,1976-05-10,Етнограф,хутір Мирноград,"сквер Олександрівський, буд. 075 кв. 76, Стебник, 08656",+380 85 542-98-45,rvelychko@example.com
Шамрай,Хома,Опанасович,чоловік,1958-02-21,Диригент,місто Новодністровськ,"провулок Монастирський, буд. 978 кв. 4, Великі Мости, 97830",069 736 75 22,tokarveniiamyn@example.com
Абрамчук,Віктор,Юстимович,чоловік,1998-12-25,Електрослюсар,хутір Жмеринка,"узвіз ім. К.Г. Паустовського, буд. 46, Світловодськ, 88080",+380 (37) 505-27-00,averchenkoalbina@example.org
Чумак,Остап,Макарович,чоловік,1989-02-26,Епідеміолог,селище Звенигородка,"площа Леваневського, буд. 84, Заводське, 98738",034 480-24-33,zvivcharenko@example.net
Гоголь,Трохим,Аркадійович,чоловік,1997-05-25,Паблік рилейшнз,селище Тячів,"набережна Бригадна, буд. 5, Золоте, 73506",722-98-87,leontii28@example.com
Мамчур,Демид,Лукʼянович,чоловік,1994-01-02,Медик,село Новий Розділ,"парк Лінія 48-ма, буд. 1 кв. 0, Заставна, 28810",+380 39 621-66-20,adubas@example.com
Царенко,Опанас,Устимович,чоловік,1995-10-29,Візажист,село Сторожинець,"площа Каманіна, буд. 23 кв. 31, Залізне, 67745",+380 (36) 815-81-17,dsatsiuk@example.com
Приймак,Юстим,Мартинович,чоловік,1997-01-27,Письменник,селище Ізмаїл,"шосе Іванова, буд. 8, Кипуче, 41344",+380 45 647-92-81,kostiantynostapchuk@example.org
Дубенко,Устим,Аврелійович,чоловік,1988-07-24,Фотограф,селище Липовець,"узвіз 3-тя Суворовська, буд. 9 кв. 889, Вашківці, 36021",174-37-85,andriichukodarka@example.org
Назаренко,Аркадій,Панасович,чоловік,1950-04-01,Ботанік,село Бердянськ,"узвіз Центральний аеропорт, буд. 4 кв. 14, Овруч, 84525",809 83 16,khrystenkotereza@example.org
Даценко,Степан,Бориславович,чоловік,2002-09-06,Швачка,місто Зимогір'я,"площа 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 40, Яготин, 80858",068 453 28 32,edyta42@example.com
Даценко,Валентин,Арсенович,чоловік,2001-01-18,Каскадер,місто Іршава,"провулок Володі Дубініна, буд. 46, Ірпінь, 19300",+380 32 149-77-93,iashchenkomilena@example.org
Хмара,Владислав,Васильович,чоловік,1997-01-24,Конструктор,місто Славутич,"провулок Інтернаціональний, буд. 709 кв. 5, Оріхів, 37690",+380 50 436-30-11,albina12@example.net
Якименко,Мирослав,Лукʼянович,чоловік,2007-06-27,Соціолог,селище Умань,"площа Ключовий 2-й, буд. 36, Кадіївка, 97019",+380 (18) 713-60-58,fedirostapchuk@example.org
Устенко,Павло,Микитович,чоловік,2007-08-09,Мовознавець,село Устилуг,"парк Лиманчик 2-й Лінія 5-та, буд. 31 кв. 0, Пустомити, 69891",089 193 00 22,daryna01@example.org
Девдюк,Ілля,Микитович,чоловік,2007-10-06,Електромонтажник,місто Славутич,"вулиця Достоєвського, буд. 530 кв. 856, Інкерман, 93700",+380 04 022-06-67,qaleksiichuk@example.org
Матвієнко,Євген,Артемович,чоловік,1983-05-04,Психолог,місто Дрогобич,"шосе Курортний, буд. 9, Бершадь, 50202",285 14 91,orysiavasylevych@example.com
Заїка,Левко,Георгійович,чоловік,1970-06-02,Нотаріус,місто Святогірськ,"вулиця Садова, буд. 5 кв. 99, Роздільна, 86130",+380 (25) 461-21-69,qhuz@example.org
Шамрай,Амвросій,Георгійович,чоловік,1948-04-13,Ювелір,місто Моспине,"сквер Орликова, буд. 798 кв. 5, Великі Мости, 12684",827 47 38,milena43@example.com
Щербак,Гліб,Болеславович,чоловік,1990-12-12,Мистецтвознавець,хутір Зміїв,"сквер Курська, буд. 115, Костопіль, 27415",+380 (56) 000-99-12,iustyna57@example.org
Матвієнко,Василь,Стефанович,чоловік,1990-04-01,Редактор,хутір Нове Давидково,"проспект Волна тупик, буд. 3 кв. 38, Радивилів, 27863",+380 (50) 754-77-04,piatachenkofedir@example.com
Рябошапка,Ілля,Вадимович,чоловік,2000-10-28,Флорист,селище Павлоград,"набережна Ліверпульський, буд. 3 кв. 33, Вугледар, 89532",+380 87 555-50-27,vredko@example.net
Габелко,Данило,Георгійович,чоловік,1995-11-18,Художник,селище Ровеньки,"узвіз Кавунова, буд. 50 кв. 95, Трускавець, 66325",+380 29 182-99-21,bohodar59@example.org
Зінчук,Теодор,Богданович,чоловік,1953-12-11,Лікар,місто Дніпро ,"площа Онілової, буд. 14, Мерефа, 10874",681-98-84,khmaraoleksa@example.net
Євтушенко,Давид,Володимирович,чоловік,1988-09-11,Клавішник,селище Герца,"провулок Овідіопольський, буд. 650 кв. 029, Снятин, 47386",765-62-88,zatulaustym@example.org
Ярош,Охрім,Володимирович,чоловік,1998-02-15,Палеонтолог,місто Черкаси,"шосе Марсельська, буд. 52, Красноперекопськ, 12583",+380 17 275-93-03,dbabii@example.com
Дейнека,Ростислав,Борисович,чоловік,2007-01-26,Зоолог,селище Світлодарськ,"набережна Скидановський узвіз, буд. 100 кв. 404, Херсон, 38963",099 306-61-62,adam53@example.com
Килимник,Арсен,Болеславович,чоловік,1953-01-12,Редактор,хутір Роздільна,"провулок Рибальський, буд. 565, Українськ, 37467",+380 67 538-78-72,aleksiichukodarka@example.net
